state,county,Total
TN,HENDERSON,75184
TN,HARDEMAN,72782
TN,JACKSON,71098
TN,MACON,64254
TN,WHITE,64208
TN,DE KALB,63444
TN,UNION,56364
TN,VAN BUREN,50018
TN,SEQUATCHIE,49048
TN,PICKETT,40086
TN,MEIGS,38600
TN,WAYNE,25920
TN,BLEDSOE,24740
TN,HAYWOOD,24278
TN,TROUSDALE,21048
TN,CROCKETT,19530
TN,LEWIS,9270
TN,LAKE,1960
TN,MOORE,1090
MA,MIDDLESEX,8027680
MA,WORCESTER,4315754
MA,ESSEX,3799504
MA,NORFOLK,3406486
MA,PLYMOUTH,3356772
MA,BRISTOL,3315962
MA,SUFFOLK,3113914
MA,HAMPDEN,2979434
MA,BARNSTABLE,1433914
MA,BERKSHIRE,851754
MA,HAMPSHIRE,723746
MA,FRANKLIN,340902
MA,DUKES,123266
MA,NANTUCKET,920
IN,MARION,4352366
IN,LAKE,3167816
IN,ST. JOSEPH,1674578
IN,ALLEN,1327838
IN,ELKHART,1084880
IN,VANDERBURGH,1014628
IN,MADISON,998426
IN,DELAWARE,989808
IN,PORTER,865786
IN,TIPPECANOE,808434
IN,CLARK,751684
IN,HENDRICKS,653828
IN,HOWARD,652928
IN,JOHNSON,633314
IN,LA PORTE,613032
IN,MONROE,554980
IN,HAMILTON,542470
IN,GRANT,494950
IN,BARTHOLOMEW,482166
IN,HARRISON,450534
IN,KOSCIUSKO,414266
IN,BOONE,411202
IN,LAWRENCE,371534
IN,WAYNE,369914
IN,MORGAN,369470
IN,MIAMI,358792
IN,WASHINGTON,357422
IN,FLOYD,356482
IN,VIGO,348744
IN,JEFFERSON,326208
IN,KNOX,323872
IN,ORANGE,307312
IN,FAYETTE,305890
IN,RIPLEY,282006
IN,HENRY,270236
IN,STARKE,263176
IN,WARRICK,262084
IN,HANCOCK,261546
IN,GIBSON,249700
IN,CASS,248508
IN,DUBOIS,244796
IN,FOUNTAIN,243520
IN,MONTGOMERY,228280
IN,POSEY,217296
IN,WABASH,212708
IN,PARKE,212590
IN,HUNTINGTON,198896
IN,VERMILLION,195116
IN,STEUBEN,191518
IN,WHITLEY,190880
IN,DEARBORN,187608
IN,SPENCER,176896
IN,RANDOLPH,176380
IN,PUTNAM,175192
IN,MARTIN,169074
IN,JASPER,167356
IN,GREENE,165382
IN,DE KALB,161316
IN,PIKE,160826
IN,MARSHALL,158198
IN,OWEN,147844
IN,ADAMS,141660
IN,JACKSON,141374
IN,TIPTON,138326
IN,LAGRANGE,135848
IN,PERRY,129340
IN,FULTON,129172
IN,DAVIESS,127856
IN,CLAY,124512
IN,WELLS,123446
IN,BLACKFORD,115430
IN,JENNINGS,111012
IN,SHELBY,110638
IN,SWITZERLAND,91364
IN,PULASKI,87554
IN,CARROLL,80122
IN,JAY,77092
IN,CLINTON,74892
IN,WHITE,72846
IN,SCOTT,67982
IN,FRANKLIN,64992
IN,NOBLE,59972
IN,WARREN,55830
IN,DECATUR,55636
IN,RUSH,47474
IN,CRAWFORD,45970
IN,SULLIVAN,14700
IN,BROWN,10620
IN,BENTON,4020
IN,OHIO,0
MO,ST. LOUIS,5772280
MO,JACKSON,3396324
MO,GREENE,1874072
MO,ST. CHARLES,1835276
MO,ST. LOUIS CITY,1515586
MO,JASPER,1100120
MO,JEFFERSON,856360
MO,CLAY,743276
MO,FRANKLIN,616768
MO,LAFAYETTE,524092
MO,ST. FRANCOIS,478610
MO,PHELPS,445008
MO,BOONE,423174
MO,WRIGHT,417782
MO,BUCHANAN,372454
MO,MILLER,363556
MO,HOWELL,358766
MO,TANEY,345432
MO,WEBSTER,338726
MO,CALLAWAY,337390
MO,STONE,327634
MO,CAPE GIRARDEAU,327194
MO,CASS,317762
MO,PLATTE,311958
MO,POLK,302480
MO,CHRISTIAN,302454
MO,NEWTON,291344
MO,DUNKLIN,285802
MO,SALINE,275996
MO,RAY,275462
MO,LACLEDE,274506
MO,CAMDEN,273312
MO,COLE,247152
MO,LINCOLN,245152
MO,STODDARD,241272
MO,CLINTON,226206
MO,BUTLER,223168
MO,PETTIS,222708
MO,BARRY,220220
MO,MORGAN,216886
MO,MONITEAU,214448
MO,GASCONADE,213234
MO,OSAGE,210954
MO,MONTGOMERY,175840
MO,MARION,169084
MO,LEWIS,165458
MO,CARROLL,164574
MO,NODAWAY,162404
MO,IRON,162012
MO,DALLAS,155560
MO,HENRY,153216
MO,JOHNSON,149970
MO,SCOTT,147634
MO,BENTON,144598
MO,RANDOLPH,137364
MO,WAYNE,127920
MO,AUDRAIN,126274
MO,COOPER,124500
MO,TEXAS,123054
MO,CRAWFORD,122534
MO,BATES,115670
MO,NEW MADRID,115346
MO,ST. CLAIR,111662
MO,HICKORY,111272
MO,MC DONALD,108490
MO,DENT,107514
MO,PUTNAM,105728
MO,PEMISCOT,105144
MO,PULASKI,104666
MO,DE KALB,102858
MO,LIVINGSTON,102128
MO,OREGON,100510
MO,BOLLINGER,94272
MO,HOWARD,90100
MO,CARTER,86462
MO,CEDAR,79780
MO,WASHINGTON,79122
MO,RALLS,78634
MO,HOLT,77696
MO,VERNON,77142
MO,WARREN,74342
MO,CALDWELL,70066
MO,MONROE,67882
MO,HARRISON,65324
MO,LAWRENCE,62608
MO,MARIES,61056
MO,MADISON,58976
MO,SULLIVAN,58320
MO,ANDREW,51758
MO,CHARITON,49702
MO,GRUNDY,47684
MO,STE. GENEVIEVE,45506
MO,OZARK,44846
MO,RIPLEY,43458
MO,PIKE,42790
MO,DAVIESS,40902
MO,REYNOLDS,39170
MO,DOUGLAS,35364
MO,PERRY,30628
MO,ATCHISON,29446
MO,ADAIR,28982
MO,MACON,28060
MO,GENTRY,25374
MO,CLARK,24726
MO,BARTON,23200
MO,SCHUYLER,21048
MO,SHANNON,16638
MO,DADE,14414
MO,MISSISSIPPI,13260
MO,LINN,10080
MO,SHELBY,8530
MO,MERCER,6190
MO,SCOTLAND,6030
AL,JEFFERSON,4149790
AL,MOBILE,2926764
AL,MADISON,2381628
AL,MONTGOMERY,1333194
AL,BALDWIN,1126786
AL,MARSHALL,965310
AL,ETOWAH,946468
AL,TALLADEGA,806320
AL,LAUDERDALE,798330
AL,CALHOUN,692332
AL,TUSCALOOSA,688444
AL,MORGAN,685490
AL,RUSSELL,639442
AL,DE KALB,611058
AL,COLBERT,569588
AL,WALKER,548466
AL,SHELBY,542630
AL,ELMORE,540886
AL,CULLMAN,536790
AL,LEE,531326
AL,DALE,471618
AL,COVINGTON,457860
AL,HOUSTON,421110
AL,FRANKLIN,420044
AL,LIMESTONE,393572
AL,DALLAS,391276
AL,PICKENS,362926
AL,PIKE,355482
AL,CHAMBERS,318664
AL,RANDOLPH,286982
AL,TALLAPOOSA,286066
AL,JACKSON,282486
AL,ST. CLAIR,275030
AL,CLEBURNE,249480
AL,AUTAUGA,229914
AL,MARION,228524
AL,BIBB,228450
AL,ESCAMBIA,224246
AL,CHILTON,212124
AL,WINSTON,188410
AL,BARBOUR,158814
AL,CLARKE,156828
AL,CHEROKEE,152512
AL,FAYETTE,150282
AL,BUTLER,149922
AL,CHOCTAW,148100
AL,SUMTER,134824
AL,MACON,133042
AL,COFFEE,131120
AL,MONROE,122386
AL,MARENGO,121142
AL,PERRY,117888
AL,BLOUNT,112460
AL,LOWNDES,106714
AL,CLAY,104764
AL,HALE,83842
AL,LAWRENCE,74974
AL,GENEVA,72208
AL,HENRY,65638
AL,WILCOX,62498
AL,CRENSHAW,59568
AL,CONECUH,57858
AL,WASHINGTON,53530
AL,COOSA,49904
AL,LAMAR,46048
AL,GREENE,39108
AL,BULLOCK,6530
SC,GREENVILLE,3673056
SC,ANDERSON,2084210
SC,SPARTANBURG,1921732
SC,CHARLESTON,1832028
SC,HORRY,1744082
SC,RICHLAND,1632822
SC,AIKEN,1377272
SC,FLORENCE,1324842
SC,YORK,1274486
SC,OCONEE,974796
SC,BERKELEY,927706
SC,LEXINGTON,907108
SC,BEAUFORT,783570
SC,DORCHESTER,748440
SC,SUMTER,699730
SC,GEORGETOWN,678344
SC,CHESTERFIELD,541418
SC,PICKENS,516676
SC,ORANGEBURG,511966
SC,ABBEVILLE,461292
SC,GREENWOOD,431998
SC,UNION,424144
SC,LANCASTER,420314
SC,FAIRFIELD,404784
SC,COLLETON,389206
SC,CLARENDON,368662
SC,CHESTER,323384
SC,DILLON,305080
SC,LAURENS,292860
SC,KERSHAW,283892
SC,EDGEFIELD,279108
SC,NEWBERRY,261656
SC,DARLINGTON,237136
SC,CHEROKEE,228852
SC,MCCORMICK,197326
SC,HAMPTON,191308
SC,WILLIAMSBURG,153518
SC,BARNWELL,153420
SC,MARLBORO,147286
SC,SALUDA,115116
SC,MARION,110242
SC,BAMBERG,96248
SC,JASPER,48478
SC,CALHOUN,45998
SC,ALLENDALE,45228
SC,LEE,14190
MD,BALTIMORE,4549888
MD,MONTGOMERY,4230264
MD,PRINCE GEORGES,3672122
MD,BALTIMORE CITY,3306042
MD,ANNE ARUNDEL,2517880
MD,FREDERICK,1414786
MD,HARFORD,1235540
MD,CARROLL,1127714
MD,HOWARD,915106
MD,TALBOT,859620
MD,ALLEGANY,827482
MD,CALVERT,666060
MD,WASHINGTON,603598
MD,CHARLES,575796
MD,WICOMICO,512062
MD,WORCESTER,453070
MD,CECIL,389406
MD,QUEEN ANNES,317424
MD,ST. MARYS,271094
MD,SOMERSET,255642
MD,GARRETT,252412
MD,CAROLINE,170774
MD,KENT,166242
MD,DORCHESTER,146858
KY,JEFFERSON,4524192
KY,FAYETTE,1047496
KY,PIKE,959276
KY,KENTON,787430
KY,BARREN,733376
KY,MC CRACKEN,715790
KY,HOPKINS,624316
KY,PULASKI,603184
KY,HARDIN,557570
KY,DAVIESS,531322
KY,BULLITT,521442
KY,LINCOLN,472286
KY,WARREN,471468
KY,MERCER,471196
KY,MARSHALL,465810
KY,MADISON,459018
KY,FRANKLIN,441902
KY,CLARK,429286
KY,NELSON,397624
KY,BOYD,396580
KY,ALLEN,383712
KY,LAUREL,382510
KY,LETCHER,372270
KY,CAMPBELL,356172
KY,CHRISTIAN,344696
KY,JESSAMINE,327690
KY,CALLOWAY,326958
KY,BOYLE,318592
KY,GREENUP,303804
KY,LAWRENCE,282238
KY,CARROLL,274308
KY,PERRY,269790
KY,BOONE,253728
KY,HARLAN,243530
KY,HENDERSON,239330
KY,GRANT,232904
KY,BELL,231624
KY,TAYLOR,220436
KY,FLEMING,219638
KY,UNION,219620
KY,RUSSELL,214216
KY,WHITLEY,200134
KY,GRAVES,199814
KY,GREEN,197370
KY,FLOYD,197058
KY,ADAIR,195006
KY,MASON,190372
KY,WAYNE,181772
KY,MONTGOMERY,178048
KY,LESLIE,175984
KY,MUHLENBERG,172210
KY,CLAY,165248
KY,PENDLETON,161100
KY,CLINTON,151196
KY,KNOX,149858
KY,MONROE,148160
KY,LYON,145564
KY,CALDWELL,142892
KY,SPENCER,142712
KY,OHIO,139068
KY,SHELBY,139066
KY,ROWAN,134708
KY,OLDHAM,132646
KY,MARION,131024
KY,SCOTT,130978
KY,JOHNSON,123492
KY,ROCKCASTLE,119644
KY,LOGAN,118632
KY,OWEN,118564
KY,WASHINGTON,110452
KY,CUMBERLAND,109098
KY,LARUE,106734
KY,MORGAN,99122
KY,GRAYSON,96228
KY,EDMONSON,95030
KY,ANDERSON,94360
KY,TRIGG,89392
KY,CASEY,86450
KY,MAGOFFIN,84200
KY,BRECKINRIDGE,83334
KY,GARRARD,83020
KY,HART,78758
KY,WEBSTER,74640
KY,METCALFE,74154
KY,BALLARD,72490
KY,BRACKEN,72332
KY,HARRISON,71346
KY,HENRY,71288
KY,BUTLER,71142
KY,WOODFORD,69902
KY,BATH,69436
KY,MC CREARY,68054
KY,BOURBON,65616
KY,JACKSON,64272
KY,HANCOCK,58190
KY,BREATHITT,54044
KY,FULTON,52480
KY,CARLISLE,47102
KY,ESTILL,43370
KY,MARTIN,43358
KY,KNOTT,42254
KY,CARTER,40570
KY,POWELL,36490
KY,LEE,36168
KY,GALLATIN,33120
KY,TODD,32480
KY,SIMPSON,30960
KY,MC LEAN,30948
KY,NICHOLAS,25990
KY,LEWIS,25770
KY,OWSLEY,22090
KY,LIVINGSTON,13440
KY,WOLFE,9870
KY,ROBERTSON,5630
KY,MEADE,5060
KY,MENIFEE,4650
KY,ELLIOTT,4420
KY,CRITTENDEN,190
KY,HICKMAN,20
WA,KING,7576592
WA,PIERCE,2891026
WA,SPOKANE,2227396
WA,SNOHOMISH,2149266
WA,CLARK,1548124
WA,WHATCOM,1114136
WA,THURSTON,1097060
WA,KITSAP,1004910
WA,CLALLAM,842924
WA,YAKIMA,789768
WA,SKAGIT,786466
WA,COWLITZ,637218
WA,GRAYS HARBOR,512226
WA,BENTON,491542
WA,WALLA WALLA,454602
WA,LEWIS,446974
WA,ISLAND,394126
WA,WHITMAN,369604
WA,GRANT,296348
WA,MASON,279878
WA,STEVENS,258586
WA,OKANOGAN,251930
WA,DOUGLAS,239386
WA,JEFFERSON,226354
WA,ASOTIN,213738
WA,CHELAN,211484
WA,KLICKITAT,162844
WA,KITTITAS,134424
WA,SAN JUAN,115568
WA,PACIFIC,98758
WA,LINCOLN,98548
WA,FRANKLIN,93234
WA,FERRY,44928
WA,ADAMS,36860
WA,WAHKIAKUM,28440
WA,PEND OREILLE,24854
WA,GARFIELD,6060
WA,COLUMBIA,2090
WI,MILWAUKEE,3592706
WI,DANE,2014826
WI,WAUKESHA,1583836
WI,OUTAGAMIE,918604
WI,KENOSHA,861508
WI,ROCK,860002
WI,RACINE,737714
WI,WASHINGTON,664274
WI,BROWN,652592
WI,MARATHON,620946
WI,WINNEBAGO,596458
WI,WOOD,540196
WI,JEFFERSON,509048
WI,EAU CLAIRE,498050
WI,MANITOWOC,492122
WI,COLUMBIA,465196
WI,WALWORTH,455484
WI,PORTAGE,455168
WI,TREMPEALEAU,357824
WI,SAUK,357468
WI,FOND DU LAC,357268
WI,CHIPPEWA,345424
WI,ASHLAND,342520
WI,WAUPACA,339962
WI,VILAS,323836
WI,LANGLADE,311432
WI,ST. CROIX,304754
WI,SHAWANO,300372
WI,OCONTO,299840
WI,BAYFIELD,294326
WI,DODGE,267586
WI,SHEBOYGAN,245818
WI,TAYLOR,242646
WI,VERNON,239392
WI,CALUMET,236814
WI,JUNEAU,233360
WI,OZAUKEE,231910
WI,BURNETT,219768
WI,ONEIDA,218582
WI,LINCOLN,216618
WI,LA CROSSE,213200
WI,WASHBURN,211942
WI,BARRON,195740
WI,DOOR,186548
WI,DOUGLAS,185474
WI,POLK,185158
WI,FOREST,179674
WI,PIERCE,154942
WI,GREEN LAKE,143654
WI,MARQUETTE,140398
WI,CLARK,133936
WI,MONROE,133234
WI,MARINETTE,117372
WI,GRANT,102426
WI,DUNN,100200
WI,KEWAUNEE,100176
WI,WAUSHARA,92802
WI,BUFFALO,83220
WI,PRICE,81838
WI,ADAMS,74968
WI,IOWA,72236
WI,PEPIN,70978
WI,RICHLAND,63524
WI,IRON,44612
WI,GREEN,44304
WI,MENOMONEE,38444
WI,JACKSON,31538
WI,CRAWFORD,26608
WI,SAWYER,21950
WI,LAFAYETTE,15130
WI,FLORENCE,14600
WI,RUSK,4520
AZ,MARICOPA,14346216
AZ,PIMA,4415360
AZ,MOHAVE,1327538
AZ,YAVAPAI,1212612
AZ,PINAL,1023976
AZ,YUMA,850404
AZ,COCONINO,554636
AZ,COCHISE,436516
AZ,GILA,379370
AZ,NAVAJO,355726
AZ,APACHE,222316
AZ,SANTA CRUZ,191866
AZ,LAPAZ,149166
AZ,GRAHAM,105246
LA,JEFFERSON,2325262
LA,E. BATON ROUGE,2133724
LA,ORLEANS,2067486
LA,CADDO,2034750
LA,RAPIDES,1330594
LA,OUACHITA,1329578
LA,LAFAYETTE,1128186
LA,ST. TAMMANY,1030306
LA,TERREBONNE,874364
LA,CALCASIEU,856330
LA,BOSSIER,675308
LA,TANGIPAHOA,597628
LA,ACADIA,546340
LA,VERMILION,395698
LA,ST. CHARLES,358480
LA,LIVINGSTON,346344
LA,JEFFRSON DAVIS,310494
LA,MOREHOUSE,298842
LA,NATCHITOCHES,293582
LA,FRANKLIN,291368
LA,IBERIA,287822
LA,ST. MARY,273034
LA,LINCOLN,265994
LA,ASCENSION,259640
LA,LAFOURCHE,250934
LA,ST. MARTIN,241564
LA,EAST CARROLL,223698
LA,ST. JOHN BAPTIST,206264
LA,POINTE COUPEE,186730
LA,ALLEN,176020
LA,WASHINGTON,174016
LA,ST. BERNARD,170950
LA,AVOYELLES,167814
LA,EAST FELICIANA,165320
LA,DE SOTO,163386
LA,EVANGELINE,162584
LA,ST. LANDRY,161396
LA,IBERVILLE,151838
LA,WEBSTER,146338
LA,ST. JAMES,143300
LA,BEAUREGARD,137778
LA,W. BATON ROUGE,128494
LA,GRANT,121600
LA,UNION,120828
LA,WINN,116774
LA,ASSUMPTION,107010
LA,BIENVILLE,102894
LA,SABINE,94542
LA,MADISON,93262
LA,CATAHOULA,88368
LA,VERNON,81726
LA,RED RIVER,76196
LA,CONCORDIA,71244
LA,WEST FELICIANA,63038
LA,RICHLAND,61204
LA,CALDWELL,30188
LA,WEST CARROLL,26050
LA,TENSAS,23310
LA,LA SALLE,22308
LA,PLAQUEMINES,20160
LA,CLAIBORNE,17500
LA,JACKSON,10790
LA,ST. HELENA,9808
MN,HENNEPIN,4690024
MN,RAMSEY,2703052
MN,ST. LOUIS,1209248
MN,DAKOTA,1040634
MN,ANOKA,1030108
MN,WASHINGTON,758282
MN,WRIGHT,590616
MN,OLMSTED,568256
MN,STEARNS,452022
MN,DOUGLAS,392854
MN,CROW WING,371286
MN,CARVER,336120
MN,BLUE EARTH,302344
MN,ITASCA,298798
MN,CHISAGO,290054
MN,CLAY,286682
MN,OTTER TAIL,284648
MN,FILLMORE,278606
MN,PINE,262348
MN,MORRISON,259732
MN,WINONA,249784
MN,GOODHUE,247974
MN,KANDIYOHI,234172
MN,CHIPPEWA,232800
MN,REDWOOD,230780
MN,STEVENS,221518
MN,FREEBORN,192124
MN,STEELE,185254
MN,ISANTI,177858
MN,AITKIN,177586
MN,SHERBURNE,170850
MN,MILLE LACS,167710
MN,MARTIN,157972
MN,CARLTON,155828
MN,CASS,151770
MN,LE SUEUR,151032
MN,LYON,150786
MN,BELTRAMI,148264
MN,SCOTT,144154
MN,KANABEC,122680
MN,DODGE,109996
MN,RICE,105080
MN,TODD,101368
MN,BECKER,100202
MN,HOUSTON,99254
MN,ROSEAU,97932
MN,FARIBAULT,97410
MN,NICOLLET,97100
MN,PIPESTONE,87912
MN,MC LEOD,84948
MN,MOWER,77386
MN,POPE,76276
MN,WATONWAN,75286
MN,BENTON,69974
MN,LINCOLN,69656
MN,HUBBARD,68902
MN,SWIFT,67046
MN,ROCK,63782
MN,NORMAN,60926
MN,BROWN,60098
MN,WADENA,59558
MN,SIBLEY,59124
MN,MEEKER,58212
MN,RED LAKE,55028
MN,WASECA,50358
MN,LAKE,45910
MN,MARSHALL,45798
MN,POLK,41724
MN,LAKE OF  WOODS,33098
MN,TRAVERSE,31108
MN,RENVILLE,30760
MN,COTTONWOOD,29664
MN,MAHNOMEN,28990
MN,LAC QUI PARLE,26554
MN,YELLOW MEDCINE,26110
MN,GRANT,20930
MN,MURRAY,15214
MN,NOBLES,8990
MN,CLEARWATER,8360
MN,COOK,5530
MN,JACKSON,5140
MN,KOOCHICHING,4730
MN,PENNINGTON,1100
MN,KITTSON,470
MN,WILKIN,210
MN,BIG STONE,0
OK,OKLAHOMA,4876018
OK,TULSA,3272788
OK,CLEVELAND,871980
OK,DELAWARE,508296
OK,COMANCHE,495538
OK,STEPHENS,470362
OK,MUSKOGEE,391046
OK,CARTER,370052
OK,WASHINGTON,345130
OK,CREEK,344238
OK,GARFIELD,341050
OK,KAY,336468
OK,PAYNE,327468
OK,MAYES,320856
OK,OTTAWA,318554
OK,LINCOLN,314054
OK,CANADIAN,309404
OK,PITTSBURG,307196
OK,ROGERS,304086
OK,BRYAN,285020
OK,SEQUOYAH,276686
OK,MCCURTAIN,264176
OK,SEMINOLE,261306
OK,GRADY,226996
OK,JACKSON,224082
OK,PONTOTOC,219338
OK,GARVIN,216764
OK,POTTAWATOMIE,216226
OK,LE FLORE,194022
OK,DEWEY,193936
OK,CHEROKEE,188454
OK,MCCLAIN,188068
OK,GREER,179468
OK,OKMULGEE,177034
OK,OKFUSKEE,168188
OK,MCINTOSH,160500
OK,CUSTER,154348
OK,WAGONER,153594
OK,JOHNSTON,150356
OK,HUGHES,147454
OK,WOODWARD,143310
OK,ATOKA,114272
OK,LOGAN,113444
OK,BEAVER,109190
OK,PAWNEE,105194
OK,BECKHAM,102874
OK,CADDO,92694
OK,MURRAY,88992
OK,KINGFISHER,81998
OK,ELLIS,73146
OK,MARSHALL,73126
OK,KIOWA,68058
OK,TILLMAN,61180
OK,HASKELL,60858
OK,OSAGE,57404
OK,LATIMER,56522
OK,NOBLE,56200
OK,CHOCTAW,53762
OK,COAL,53038
OK,TEXAS,46020
OK,WOODS,42828
OK,ALFALFA,42776
OK,LOVE,42746
OK,NOWATA,41928
OK,BLAINE,36776
OK,PUSHMATAHA,33528
OK,ROGER MILLS,30340
OK,COTTON,24580
OK,ADAIR,24510
OK,CRAIG,24108
OK,WASHITA,14830
OK,JEFFERSON,9360
OK,HARPER,7840
OK,HARMON,3500
OK,CIMARRON,3500
OK,MAJOR,3190
AR,PULASKI,1982296
AR,JEFFERSON,1033006
AR,BENTON,1022340
AR,GARLAND,926660
AR,WHITE,834432
AR,BAXTER,655108
AR,SEBASTIAN,603252
AR,WASHINGTON,574052
AR,POPE,555696
AR,SALINE,550162
AR,FAULKNER,504414
AR,CRAWFORD,473466
AR,LAWRENCE,460312
AR,UNION,452488
AR,CRITTENDEN,450552
AR,CRAIGHEAD,444888
AR,POINSETT,382654
AR,SHARP,378368
AR,MISSISSIPPI,371718
AR,COLUMBIA,337808
AR,BOONE,335596
AR,CLEBURNE,319186
AR,ST. FRANCIS,307422
AR,INDEPENDENCE,299712
AR,CARROLL,295360
AR,LOGAN,294098
AR,GREENE,277446
AR,YELL,247266
AR,SCOTT,226450
AR,JACKSON,223474
AR,CONWAY,223272
AR,OUACHITA,213910
AR,POLK,206664
AR,MILLER,190410
AR,HOWARD,182942
AR,LAFAYETTE,177740
AR,HOT SPRING,166126
AR,LEE,156138
AR,CROSS,151082
AR,DESHA,141786
AR,CLAY,141754
AR,LONOKE,137360
AR,BRADLEY,124758
AR,JOHNSON,121052
AR,PHILLIPS,118812
AR,GRANT,117230
AR,CLARK,101094
AR,VAN BUREN,98446
AR,CHICOT,97066
AR,SEVIER,92044
AR,IZARD,90356
AR,PERRY,87230
AR,HEMPSTEAD,84670
AR,MARION,83876
AR,FULTON,81614
AR,RANDOLPH,76214
AR,ARKANSAS,68276
AR,WOODRUFF,65014
AR,CLEVELAND,62006
AR,MONTGOMERY,54364
AR,ASHLEY,51672
AR,MADISON,51288
AR,DREW,47210
AR,STONE,45130
AR,FRANKLIN,43896
AR,MONROE,40974
AR,PRAIRIE,36192
AR,LINCOLN,31528
AR,CALHOUN,30434
AR,SEARCY,25414
AR,PIKE,23470
AR,LITTLE RIVER,16680
AR,DALLAS,13160
AR,NEVADA,9880
AR,NEWTON,1930
CT,HARTFORD,5619300
CT,FAIRFIELD,4781592
CT,NEW HAVEN,4325050
CT,LITCHFIELD,1233556
CT,NEW LONDON,1134780
CT,MIDDLESEX,829036
CT,TOLLAND,759238
CT,WINDHAM,526430
MS,HINDS,1698644
MS,JACKSON,1083794
MS,HARRISON,857662
MS,RANKIN,834614
MS,MADISON,703564
MS,DE SOTO,659562
MS,FORREST,610528
MS,PANOLA,575492
MS,JONES,480356
MS,ADAMS,477428
MS,WASHINGTON,440392
MS,NESHOBA,391884
MS,PIKE,364858
MS,LOWNDES,364444
MS,LEE,360610
MS,GEORGE,358052
MS,BOLIVAR,350242
MS,PEARL RIVER,348104
MS,SCOTT,321218
MS,MARSHALL,317664
MS,HANCOCK,315686
MS,LEFLORE,292990
MS,LAUDERDALE,291868
MS,CALHOUN,270412
MS,PRENTISS,266418
MS,LAFAYETTE,241792
MS,LAMAR,230424
MS,HOLMES,223264
MS,TIPPAH,222348
MS,ALCORN,217666
MS,MONROE,203290
MS,FRANKLIN,185788
MS,PONTOTOC,175152
MS,GRENADA,174000
MS,LEAKE,172274
MS,TATE,168088
MS,LINCOLN,162680
MS,COPIAH,161836
MS,MARION,159020
MS,CHICKASAW,152066
MS,WINSTON,146272
MS,WALTHALL,140376
MS,HUMPHREYS,140336
MS,CLARKE,140084
MS,WARREN,131572
MS,CARROLL,126330
MS,TALLAHATCHIE,126128
MS,CLAY,124594
MS,YAZOO,123460
MS,LAWRENCE,121968
MS,ITAWAMBA,119142
MS,OKTIBBEHA,117510
MS,UNION,111266
MS,SIMPSON,103910
MS,YALOBUSHA,101492
MS,TISHOMINGO,99686
MS,WEBSTER,95340
MS,AMITE,80960
MS,WAYNE,78664
MS,SUNFLOWER,75184
MS,NEWTON,68746
MS,NOXUBEE,67390
MS,SMITH,64894
MS,COAHOMA,59910
MS,GREENE,54590
MS,STONE,48682
MS,BENTON,33344
MS,MONTGOMERY,27470
MS,SHARKEY,27112
MS,JEFFERSON,26654
MS,ATTALA,25744
MS,KEMPER,24438
MS,JEFFERSON DAVIS,23210
MS,QUITMAN,21438
MS,CHOCTAW,18890
MS,JASPER,16780
MS,COVINGTON,11970
MS,CLAIBORNE,7630
MS,TUNICA,2380
MS,PERRY,0
MS,WILKINSON,0
IA,POLK,2070816
IA,SCOTT,1214224
IA,BLACK HAWK,779924
IA,LINN,715202
IA,DUBUQUE,552276
IA,POTTAWATTAMIE,511982
IA,STORY,490068
IA,FAYETTE,439100
IA,JOHNSON,430972
IA,CERRO GORDO,398314
IA,CLINTON,378012
IA,BREMER,361548
IA,SAC,351804
IA,WEBSTER,347838
IA,LEE,303384
IA,MUSCATINE,302448
IA,MARSHALL,284324
IA,AUDUBON,284074
IA,CLAYTON,278220
IA,POWESHIEK,267656
IA,WOODBURY,263012
IA,MARION,261428
IA,TAMA,255510
IA,CRAWFORD,254026
IA,WAPELLO,250184
IA,ALLAMAKEE,229474
IA,DICKINSON,229406
IA,MAHASKA,218056
IA,DES MOINES,217348
IA,JASPER,213542
IA,OBRIEN,204360
IA,LYON,195928
IA,HARDIN,176052
IA,WARREN,175720
IA,DALLAS,170410
IA,KOSSUTH,154784
IA,BOONE,144760
IA,BUTLER,142952
IA,HARRISON,140476
IA,WINNESHIEK,139520
IA,SIOUX,135926
IA,IOWA,134100
IA,PALO ALTO,130690
IA,BUCHANAN,123380
IA,MILLS,123212
IA,DAVIS,116100
IA,CEDAR,114420
IA,IDA,114282
IA,GUTHRIE,112586
IA,CALHOUN,111700
IA,DECATUR,106934
IA,CHICKASAW,103472
IA,CASS,102616
IA,HAMILTON,102604
IA,JONES,102048
IA,JEFFERSON,98758
IA,HOWARD,93326
IA,CHEROKEE,88814
IA,BENTON,88420
IA,MONTGOMERY,85058
IA,MADISON,81718
IA,GREENE,76320
IA,UNION,74204
IA,VAN BUREN,70524
IA,FRANKLIN,69530
IA,HUMBOLDT,68526
IA,CLAY,67972
IA,HANCOCK,67788
IA,BUENA VISTA,65052
IA,SHELBY,64738
IA,EMMET,62520
IA,APPANOOSE,61394
IA,WRIGHT,56360
IA,GRUNDY,53036
IA,CARROLL,52230
IA,POCAHONTAS,50818
IA,PAGE,44006
IA,FREMONT,36290
IA,MITCHELL,35820
IA,LUCAS,35196
IA,MONONA,32710
IA,FLOYD,32060
IA,ADAIR,32010
IA,CLARKE,30754
IA,KEOKUK,27200
IA,TAYLOR,24738
IA,JACKSON,23470
IA,PLYMOUTH,23130
IA,RINGGOLD,21958
